AGE,SEX,MARITAL_STATUS,OCCUPATION_TYPE,MONTHS_IN_RESIDENCE,FLAG_RESIDENCIAL_PHONE,STATE_OF_BIRTH,RESIDENCIAL_STATE,RESIDENCE_TYPE,RESIDENCIAL_CITY,RESIDENCIAL_BOROUGH,RESIDENCIAL_PHONE_AREA_CODE,RESIDENCIAL_ZIP_3,PROFESSIONAL_STATE,PROFESSIONAL_ZIP_3,PRODUCT,RISK_LABEL
39,F,5,3,144,N,PE,BA,2,Belo Horizonte,Bairro-65,11,771,PE,540,2,Medium
76,F,7,1,211,Y,RJ,RJ,4,Salvador,Bairro-82,21,883,BA,258,7,High
34,F,7,5,46,N,SP,MG,3,Porto Alegre,Bairro-96,81,483,RS,659,2,Low
71,F,2,3,21,N,RS,RJ,2,Recife,Bairro-34,31,105,PE,719,1,Low
54,M,3,3,167,N,RS,SP,5,Salvador,Bairro-58,11,390,BA,562,1,High
67,F,2,3,6,Y,SP,BA,4,São Paulo,Bairro-45,31,521,BA,867,1,Low
24,M,2,3,82,N,RJ,BA,4,Salvador,Bairro-75,31,500,MG,642,7,High
51,F,1,3,3,Y,RS,PE,1,Recife,Bairro-55,21,337,RJ,779,7,Low
28,M,7,3,201,Y,PE,RS,5,São Paulo,Bairro-98,31,397,PE,619,2,Medium
63,M,7,3,16,Y,PE,MG,4,Belo Horizonte,Bairro-48,21,620,RJ,755,7,Low
74,M,4,5,6,N,MG,RJ,3,São Paulo,Bairro-61,51,617,BA,110,1,Medium
44,F,5,3,179,N,MG,SP,1,Salvador,Bairro-24,51,325,SP,998,7,Low
41,M,2,1,27,Y,RJ,PE,2,Belo Horizonte,Bairro-34,51,559,PE,266,1,Low
42,M,5,3,135,N,RJ,PE,2,Belo Horizonte,Bairro-27,21,495,SP,718,7,Medium
62,M,4,1,98,Y,BA,RS,3,Salvador,Bairro-81,31,604,SP,259,1,High
40,F,5,2,42,Y,RJ,SP,3,São Paulo,Bairro-50,31,488,BA,386,7,Low
75,M,4,4,231,Y,PE,PE,4,Rio de Janeiro,Bairro-66,31,790,BA,689,2,Low
21,M,1,1,231,Y,BA,BA,4,Belo Horizonte,Bairro-70,81,900,RS,755,2,Medium
21,M,5,4,118,Y,RS,SP,1,Porto Alegre,Bairro-65,71,132,RJ,981,2,Low
24,F,7,5,121,N,MG,MG,1,São Paulo,Bairro-49,11,926,SP,175,2,Medium
23,M,2,5,158,N,MG,RS,5,Recife,Bairro-50,11,665,BA,567,7,Low
36,F,5,3,114,N,MG,MG,1,Salvador,Bairro-76,71,211,SP,462,1,Low
35,F,2,4,8,N,RJ,SP,4,Rio de Janeiro,Bairro-57,11,767,RS,898,2,Low
80,F,2,4,192,N,RJ,SP,4,Salvador,Bairro-29,11,808,MG,659,1,Medium
58,M,3,1,102,Y,SP,BA,4,Recife,Bairro-96,51,274,PE,838,1,Low
57,M,3,3,24,N,RS,PE,2,Rio de Janeiro,Bairro-81,21,329,SP,277,2,Medium
32,F,7,5,60,N,BA,RS,5,Belo Horizonte,Bairro-62,31,384,SP,567,2,Medium
26,F,5,1,219,N,MG,PE,5,São Paulo,Bairro-12,81,536,PE,586,7,Low
57,F,5,1,162,N,BA,MG,4,São Paulo,Bairro-25,11,246,BA,982,1,Medium
62,M,2,4,231,Y,RJ,RJ,1,Recife,Bairro-56,21,185,RS,659,1,Medium
36,F,2,2,81,Y,SP,SP,5,Belo Horizonte,Bairro-36,51,630,RJ,268,2,Low
27,F,6,1,75,Y,RJ,SP,1,Salvador,Bairro-72,11,592,RJ,121,2,Medium
77,F,4,5,188,Y,PE,RS,2,Rio de Janeiro,Bairro-98,51,402,RJ,964,1,Low
64,M,1,2,150,N,RS,SP,1,Porto Alegre,Bairro-87,31,400,PE,621,7,Medium
78,M,2,4,91,Y,MG,RS,3,Belo Horizonte,Bairro-4,81,649,BA,565,7,Medium
69,F,2,1,86,Y,BA,RJ,2,Recife,Bairro-79,81,304,RS,250,2,High
53,F,1,1,153,Y,SP,RS,4,Salvador,Bairro-13,11,233,BA,149,7,High
78,M,4,4,152,N,RS,RJ,5,Recife,Bairro-64,81,780,RS,412,2,High
40,M,5,4,48,N,BA,MG,1,Rio de Janeiro,Bairro-27,51,529,SP,789,1,Low
37,M,2,1,71,Y,RS,SP,3,São Paulo,Bairro-37,11,883,SP,267,2,Medium
73,F,1,2,93,N,MG,BA,2,Belo Horizonte,Bairro-74,51,310,BA,337,2,Low
77,M,6,5,101,N,RJ,BA,2,Rio de Janeiro,Bairro-57,21,226,RS,255,2,Medium
74,F,2,4,18,N,PE,MG,4,Recife,Bairro-33,11,574,RJ,567,7,High
41,F,3,4,122,Y,RS,RJ,4,Porto Alegre,Bairro-45,81,530,SP,728,1,Medium
54,M,3,1,56,Y,PE,SP,2,Salvador,Bairro-61,51,269,SP,391,1,Low
63,M,4,4,8,N,SP,RJ,2,Porto Alegre,Bairro-23,11,479,MG,275,7,Low
60,M,1,5,207,Y,SP,BA,4,Porto Alegre,Bairro-95,21,104,SP,793,2,Low
39,F,1,2,232,N,SP,BA,2,Belo Horizonte,Bairro-2,31,780,SP,914,7,Medium
40,M,3,3,235,Y,RS,SP,2,Porto Alegre,Bairro-95,31,975,RJ,595,1,High
75,F,1,1,46,N,RJ,MG,2,Recife,Bairro-47,71,122,PE,284,1,Medium
63,F,6,1,87,Y,SP,MG,1,Recife,Bairro-94,31,199,RS,382,2,High
46,M,5,4,147,N,SP,MG,5,Belo Horizonte,Bairro-93,21,432,RS,267,2,Medium
60,M,6,5,151,Y,RJ,SP,3,Belo Horizonte,Bairro-23,11,930,PE,450,2,High
28,F,4,1,189,N,PE,RS,5,Salvador,Bairro-71,81,218,RS,807,7,Low
21,F,3,3,123,N,MG,SP,2,Belo Horizonte,Bairro-69,11,882,BA,191,2,Low
59,F,7,3,74,N,RJ,RJ,4,Recife,Bairro-9,71,816,PE,725,2,Medium
20,M,1,2,46,N,RJ,RS,4,São Paulo,Bairro-17,31,700,RJ,530,7,High
41,M,3,4,158,Y,BA,PE,3,Rio de Janeiro,Bairro-94,11,509,RS,201,1,High
41,M,2,5,167,N,MG,PE,5,Belo Horizonte,Bairro-3,51,272,RS,840,2,High
34,F,4,3,239,N,RS,PE,3,Recife,Bairro-45,51,501,BA,413,1,Medium
39,M,1,2,217,N,MG,RS,4,Salvador,Bairro-22,31,186,RS,143,7,Low
46,M,7,4,51,N,RJ,BA,4,Porto Alegre,Bairro-70,21,671,RJ,909,1,High
52,M,5,4,23,Y,RJ,RS,3,Rio de Janeiro,Bairro-58,51,249,SP,169,1,Medium
67,M,5,3,91,Y,PE,RJ,4,Belo Horizonte,Bairro-31,31,379,RS,413,1,Low
66,F,5,2,226,N,PE,RS,3,Recife,Bairro-29,31,617,BA,264,1,High
66,F,6,2,48,Y,MG,PE,5,Porto Alegre,Bairro-3,21,283,SP,851,1,Medium
32,F,3,4,119,Y,RS,PE,3,Belo Horizonte,Bairro-81,11,854,RJ,278,7,High
31,F,4,4,9,N,BA,RJ,1,Belo Horizonte,Bairro-77,71,549,SP,428,1,Low
37,F,4,4,101,Y,BA,RJ,4,Belo Horizonte,Bairro-31,51,207,RJ,901,1,Medium
61,M,5,5,53,N,BA,RJ,4,Recife,Bairro-90,21,540,SP,956,2,Low
59,F,3,5,23,N,PE,RS,1,Porto Alegre,Bairro-5,81,794,RS,999,1,Low
37,M,4,3,112,N,BA,RS,2,Belo Horizonte,Bairro-39,21,265,RS,338,2,High
54,M,5,3,68,Y,RS,RJ,2,Salvador,Bairro-74,81,885,RJ,574,2,Medium
67,F,7,4,8,Y,PE,BA,1,Rio de Janeiro,Bairro-41,81,635,MG,242,7,High
31,F,4,3,179,N,PE,BA,4,Porto Alegre,Bairro-91,81,282,BA,294,1,Low
33,M,2,3,59,Y,RJ,RS,5,Salvador,Bairro-60,71,745,BA,304,2,Medium
26,M,6,5,130,N,MG,PE,2,Recife,Bairro-58,31,307,SP,529,1,High
29,F,4,1,212,Y,SP,RS,2,Rio de Janeiro,Bairro-39,31,692,BA,329,2,High
31,M,4,2,237,N,SP,RS,2,São Paulo,Bairro-20,51,533,MG,371,1,Low
73,M,3,3,52,Y,PE,PE,4,Rio de Janeiro,Bairro-60,71,180,BA,362,1,High
50,M,7,5,47,N,PE,SP,3,Belo Horizonte,Bairro-85,31,648,BA,793,7,Medium
50,F,5,2,19,Y,MG,RJ,3,Salvador,Bairro-22,31,249,PE,110,2,High
38,M,4,1,1,N,PE,SP,4,Salvador,Bairro-41,51,945,SP,534,7,High
80,M,2,2,148,N,BA,RS,4,Salvador,Bairro-64,51,277,RJ,409,2,Low
72,M,4,4,114,Y,SP,PE,4,Salvador,Bairro-50,71,242,RJ,729,1,Low
20,M,7,1,73,Y,RS,RJ,2,São Paulo,Bairro-19,71,365,MG,302,2,Medium
35,F,1,3,99,Y,SP,MG,1,Belo Horizonte,Bairro-43,11,702,RS,151,2,High
61,M,7,5,207,Y,MG,SP,4,São Paulo,Bairro-43,81,463,BA,777,1,Low
28,M,4,3,82,Y,PE,SP,3,Belo Horizonte,Bairro-34,71,424,RJ,605,2,Medium
20,M,3,5,76,N,MG,BA,1,São Paulo,Bairro-26,51,151,SP,969,7,High
65,M,6,3,174,Y,SP,RS,1,Salvador,Bairro-38,11,585,SP,271,2,Medium
25,M,4,5,69,N,BA,MG,5,Belo Horizonte,Bairro-43,11,936,MG,119,2,High
78,M,1,5,236,N,SP,RS,2,Belo Horizonte,Bairro-27,51,508,RS,340,1,Medium
64,F,7,2,89,Y,PE,BA,1,Salvador,Bairro-71,21,206,RJ,209,7,Low
21,F,3,1,8,Y,SP,BA,5,São Paulo,Bairro-97,21,987,BA,660,2,Low
48,M,3,1,43,N,PE,SP,3,São Paulo,Bairro-50,81,734,PE,747,1,High
20,M,3,5,182,N,SP,MG,3,Recife,Bairro-79,21,644,PE,232,2,Medium
67,F,2,2,164,N,SP,PE,5,São Paulo,Bairro-1,31,145,RS,365,1,High
50,M,6,4,91,N,RJ,PE,3,São Paulo,Bairro-45,21,603,RS,674,7,High
64,F,1,3,66,N,RJ,RS,1,Porto Alegre,Bairro-76,71,976,BA,191,2,High
50,F,4,2,6,N,BA,PE,3,Belo Horizonte,Bairro-12,31,815,RS,462,1,Medium
53,M,7,1,31,Y,BA,RJ,2,Recife,Bairro-71,11,641,SP,290,2,Medium
51,M,7,1,172,Y,RS,PE,5,Belo Horizonte,Bairro-79,31,450,RS,335,1,Low
35,M,4,1,108,N,SP,BA,5,São Paulo,Bairro-77,21,501,MG,828,7,Medium
75,F,2,1,83,N,RJ,SP,4,Porto Alegre,Bairro-12,31,580,PE,889,7,High
48,M,4,3,179,Y,RS,SP,5,Salvador,Bairro-91,31,607,RJ,941,2,Low
31,F,1,5,10,Y,SP,RJ,3,Belo Horizonte,Bairro-98,51,876,SP,903,1,High
50,M,7,1,235,N,PE,RS,1,Recife,Bairro-82,71,862,SP,720,2,Medium
80,F,2,3,125,N,PE,MG,5,Porto Alegre,Bairro-61,11,576,MG,649,1,Low
79,F,1,5,122,Y,MG,RJ,3,Recife,Bairro-66,81,362,SP,763,1,High
70,F,2,3,160,N,PE,RS,4,Porto Alegre,Bairro-84,51,642,BA,696,1,Low
53,M,5,5,138,N,PE,RJ,5,Porto Alegre,Bairro-46,31,630,PE,931,2,Medium
44,M,7,5,164,Y,BA,RS,3,Rio de Janeiro,Bairro-50,11,448,BA,582,2,Medium
33,F,3,4,199,Y,SP,RJ,3,Porto Alegre,Bairro-38,21,716,MG,175,7,Medium
74,M,2,1,16,N,RJ,RS,5,Salvador,Bairro-85,51,636,BA,991,1,Low
56,M,5,1,219,N,PE,PE,5,Rio de Janeiro,Bairro-33,81,635,BA,900,1,Medium
35,M,3,4,108,N,BA,PE,5,São Paulo,Bairro-9,81,405,RS,235,1,Low
60,M,1,1,138,N,RJ,SP,4,Belo Horizonte,Bairro-72,81,718,PE,187,1,High
41,F,6,4,111,Y,RJ,RS,4,Recife,Bairro-7,31,708,RS,133,7,Medium
60,F,7,4,74,Y,PE,RS,1,Salvador,Bairro-78,51,663,SP,736,7,High
39,M,6,2,114,Y,RJ,RS,5,Recife,Bairro-13,81,673,MG,462,1,Medium
76,F,6,2,220,Y,BA,BA,3,Recife,Bairro-15,81,924,BA,552,2,High
69,F,3,2,75,N,BA,MG,3,São Paulo,Bairro-44,51,565,RS,328,1,High
56,F,6,4,57,Y,PE,BA,5,Recife,Bairro-95,11,461,RJ,398,7,Medium
66,F,7,4,7,N,RJ,RS,3,Rio de Janeiro,Bairro-69,81,830,RS,230,2,High
19,F,6,1,176,N,RJ,BA,2,Recife,Bairro-55,11,134,MG,888,1,Low
18,M,1,1,54,Y,BA,RJ,2,Belo Horizonte,Bairro-10,81,489,RS,743,7,Medium
52,F,7,5,27,Y,MG,MG,3,Recife,Bairro-83,81,932,PE,642,7,Medium
74,F,5,5,111,Y,SP,PE,1,São Paulo,Bairro-34,81,343,SP,424,1,High
18,M,6,1,165,Y,SP,BA,2,Belo Horizonte,Bairro-94,51,598,BA,553,2,Medium
36,F,5,1,60,N,RS,RS,1,Porto Alegre,Bairro-72,51,826,MG,824,2,Medium
36,F,5,3,52,Y,BA,RS,4,Salvador,Bairro-3,81,620,BA,852,1,Medium
80,M,6,5,140,Y,BA,SP,5,Salvador,Bairro-18,81,354,BA,533,2,Low
40,F,7,5,223,N,SP,RS,5,Porto Alegre,Bairro-15,81,114,MG,732,7,Medium
43,F,3,1,154,Y,RJ,RS,2,Porto Alegre,Bairro-29,31,598,SP,916,1,High
41,F,2,3,129,Y,PE,MG,5,São Paulo,Bairro-15,51,663,PE,968,7,Medium
28,M,5,5,89,N,RJ,BA,5,São Paulo,Bairro-50,51,230,RS,699,7,High
25,M,4,2,232,N,PE,PE,4,Salvador,Bairro-24,81,250,MG,524,2,High
72,M,3,3,167,N,PE,MG,1,São Paulo,Bairro-67,71,878,PE,647,7,Medium
65,M,3,5,237,Y,SP,MG,2,Porto Alegre,Bairro-10,51,286,BA,734,7,High
43,M,5,4,116,Y,RJ,SP,4,Rio de Janeiro,Bairro-91,71,386,RS,519,7,Low
31,M,1,1,118,N,BA,MG,5,Salvador,Bairro-8,81,402,PE,541,1,High
36,F,5,5,74,Y,RS,MG,4,Belo Horizonte,Bairro-65,31,729,PE,172,1,Medium
70,F,2,3,176,Y,PE,RS,4,Rio de Janeiro,Bairro-19,11,501,BA,487,2,High
33,M,2,5,39,N,RS,MG,3,Rio de Janeiro,Bairro-91,21,774,RJ,554,2,Low
23,M,7,3,129,N,PE,MG,5,Rio de Janeiro,Bairro-69,21,971,PE,248,1,Low
71,M,5,4,51,Y,SP,PE,1,Salvador,Bairro-25,71,517,BA,221,2,High
25,F,4,5,164,N,SP,RS,4,Salvador,Bairro-40,31,802,BA,314,1,Medium
65,M,3,3,17,Y,RS,MG,3,Rio de Janeiro,Bairro-43,31,287,MG,213,1,Medium
80,F,4,5,190,N,RS,SP,1,Porto Alegre,Bairro-90,21,231,BA,515,1,Medium
35,F,7,5,88,N,SP,PE,1,Salvador,Bairro-63,11,958,BA,317,7,Low
30,F,4,2,87,Y,PE,BA,1,Belo Horizonte,Bairro-66,71,712,PE,596,1,Medium
73,M,4,1,223,N,RJ,PE,5,Rio de Janeiro,Bairro-8,31,639,RS,769,1,High
48,M,6,4,100,N,RJ,RJ,3,Recife,Bairro-76,71,418,RS,515,7,Low
31,F,6,4,69,N,MG,RS,1,Salvador,Bairro-76,21,578,RJ,625,1,Medium
40,M,3,5,202,N,RJ,RS,2,Salvador,Bairro-27,11,350,RS,480,7,Low
68,M,2,5,227,N,PE,MG,5,Porto Alegre,Bairro-1,81,504,SP,490,2,Low
